3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
48,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,"Tfrhees hs ufrpupitl ya nadn ds adlealdivse or Pyn o oawfn p e ar ro sSc twe ashtiseoennd r eaqnudi rfereds bha vseisg etota Kbrleiesl,",Letsepe Foods (Pty) Ltd,Expansion,"R1 012 409,39","R1 164 270,80","R0,00",2024/06/04,2021/12/01,2024/11/30,Reported,
49,Q2 2024/25,2024/07/04,Eskom Holdings SOC Ltd,The provision of coal plant cleaning and lashing,Mdito Business Enterprise CC,Expansion,"R3 750 000,00","R4 312 500,00","R1 906 250,06",2024/06/25,2021/03/10,2024/09/30,Reported,
50,Q2 2024/25,2024/07/10,South African Social Security Agency (SASSA),Support and Mmaainnteangaenmceen fto sru tihtee 1o6p(eLnivteexlitn cko) ntent lifecycle,Faranani,thTeh eev eexntte tnhsaiots nteh reis v i pcsreuo bcpjeurocrevt imt do ee o rn nti sep crmooco nen cst lh us' d sae nt ded r e mhaai rn lnia edt rioovne rn ototi cae n ienw,"R13 839 884,95","R109 222 007,00","R8 303 930,67",2024/06/28,2024/07/01,2024/11/30,Reported,
51,Q2 2024/25,2024/07/10,South African Social Security Agency (SASSA),Co-sourcing of beneficiary records management services,The Document Warehouse (Pty) Ltd,outcIno mored aenr dto f ianlaloliwza ftoior nth ooe ff Ritmheel fp epli rmreoneccneetsasti oonf roef vtiheew f ionfa tlh ceo Tuertr ms,"R76 829 248,12","R480 182 800,80","R78 829 248,12",2024/06/20,2024/07/01,2024/12/31,Reported,
52,Q2 2024/25,2024/07/02,National Prosecuting Authority of South Africa (NPA),Provision of facilities management services at DPP Cape Town,SJR Security Services & Transportation CC,To complete a bid prsoecreviscse fporro tvhied earppointment of a new,"R1 124 507,08","R7 656 677,12","R0,00",2024/06/27,2024/07/01,2024/11/30,Reported,
53,Q2 2024/25,2024/07/18,South African Local Government Association (SALGA),Variation Order for fit out costs for WC office space,Turnkey Cape Pty Ltd,Additional service of sandblasting of windows,"R9 904,95","R966 127,77","R0,00",2024/06/25,Once off,Once off,Reported,
54,Q2 2024/25,2024/07/15,Property Practitioners Regulatory Authority,Appointment of a serviceL picreonvisdeesr for the provision of SAP,Simcura,There was a change in scope of work for licences,"R286 966,80",R875 935.05,R0.00,2024/05/18,Once off,Once off,Reported,
55,Q2 2024/25,2024/07/15,Property Practitioners Regulatory Authority,Appointment of a serviceI npvreosvtidigeart ifoonr the provision of forensic,Kettle Consultants,"Thep raedvdioeuds a wssoirgkn cmaerrn iniet dr ee sop tur iget asbteyion tntheed fciromn tfionru faotrioenn soicf the
v","R73 830,00","R928 990,00","R1 184 572,68",2024/05/18,Once off,Once off,Reported,
56,Q2 2024/25,2024/07/22,Public Protector South Africa,Mobile contract,Telkom SA,Additional cell phone contracts,"R638 592,00","R5 969 628,00","R0,00",2024/07/22,Once off,Once off,Reported,
57,Q2 2024/25,2024/07/22,Public Protector South Africa,Security Services,Prime Security,Security services requirements,"R284 305,20","R198 529,48","R0,00",2024/07/22,Once off,Once off,Reported,
58,Q2 2024/25,2024/07/26,National Prosecuting Authority of South Africa (NPA),"Renewal of TREPNeDrs®is ltiecennt cCeysb eforr T Mharelwaatsr e(A, VPiTru) s and Advanced",Fullstream Business Services (Pty) Ltd,Request is for 2nd year for Trend® licence,"R10 982 286,70","R71 968 594,77","R14 404 121,25",2024/07/11,2024/07/12,2025/07/11,Reported,
