3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
297,Q2 2024/25,2024/07/17,Department of Basic Education (DBE),Rendering of travel and acdceopmarmtmoednattion arrangements for the,Atlantis Corporate Travel (Pty) Ltd,The department is cau srreernvticlye f ipnraolvisidinegr the appointment of,"R149 763,00","R4 743 140,80","R700 646,00",2020/11/17,2024/06/01,2024/09/30,Reported,
298,Q2 2024/25,2024/07/17,Department of Basic Education (DBE),Mimecast services,SMS ICT Choice,SITA still finalising a new tender,"R36 245,70","R1 304 845,20","R434 948,40",2023/06/21,2024/06/01,2024/06/30,Reported,
299,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),Support and FNB banking services implementation,Tegra Solutions (Pty),TPfrreohe qmer uar ige Areo Bi ss/TS tarAhun e st out sl ri eFgn rNek v n iBt cot .e n t sFre aNuenBnds d if ct eo ot rrhn Pteth re e ab r caas tgn e ioksrvi /naTicg rne u ses se wto lr i vf nc i kco enestvr ealin rcgtk rsae nedn,"R50 442,28","R65 000,00","R0,00",2024/07/15,2023/11/20,2024/11/19,Reported,
300,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),Office Lease,SKG Africa (Pty)Ltd,"AfMoin un oa t del oiexz ft ele .t h n At ehs s ei no p ein em w rrp e tClheq eEmu Ce pes r n oott faji efs it c cito eto n i mfg ooi prvf le Bteh mlte oh e eeNnm oetfarw og tni oaO tn nepi is npea lraiat si nto i o,on ntn ht la yi em l re o t llo -","R2 748 592,92","R6 773 208,14","R0,00",2024/07/15,2019/07/01,2025/12/31,Reported,
301,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),Rental and suepqpuoiprtm oefn ItCT End-user,Sizwe Africa IT,Adtimins ceeulx instesenisos noiosf n dw eoitlf ih vc etohrn yet r ona fec twt h t e os era erlvploilcawec efpo mrro eovnnidtb edorea rvred icgi enasgr.d ainngd,"R2 371 223,24","R49 500 000,00","R15 339 640,33",2024/07/15,2017/12/19,2024/09/14,Reported,
302,Q2 2024/25,2024/07/19,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",SIM Cards - 2024_2025,Telkom SA,Operational Requirements,"R16 416,00","R28 944,00","R20 000,00",2024/07/15,2024/08/01,2025/07/31,Reported,
303,Q2 2024/25,2024/07/19,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Surveying Services,Orik,Operational Requirements,"R196 000,00","R4 367 596,47","R0,00",2024/07/18,2022/05/01,2024/08/31,Reported,
304,Q2 2024/25,2024/07/19,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Pathology Services,"Drs Dietrich, Voigt, Mia and Partners",Operational Requirements,"R0,00","R3 500 000,00","R0,00",2024/07/18,2024/05/01,2024/08/31,Reported,
305,Q2 2024/25,2024/06/26,Magalies Water,Security Solutions guarding security services,Bamogale Security Services,Continuity of service whilst the bid is underway,"R4 417 171,62","R41 906 665,05","R41 906 665,05",2024/03/24,2024/03/24,2024/04/30,Reported,
306,Q2 2024/25,2024/06/26,Magalies Water,operations and maintenance,Tlhomphanang Business Enterprise,Contract extension,"R1 403 116,08","R0,00","R1 403 116,08",2024/06/18,2024/06/21,2024/09/20,Reported,
307,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Tswane Lease Agreement,SKG Pty Ltd,Continuity of service - tender pricess underway,"R833 880,48","R6 658 885,43","R876 300,00",2024/05/30,2024/05/01,2024/10/31,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
308,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Secunda Lease Agreement,Vestspruit Suites (PTY) LTD,Continuity of service - tender pricess underway,"R1 143 338,94","R8 350 188,50","R1 897 564,90",2024/05/30,2024/06/01,2024/11/30,Reported,
309,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Polokwane Lease Agreement,Sebolaise Property Service,Continuity of service - tender pricess underway,"R1 130 551,98","R7 779 926,52","R1 736 789,98",2024/05/30,2024/06/01,2024/11/30,Reported,
310,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Witbank Lease Agreement,MPH Properties and Projects,Continuity of service - tender pricess underway,"R876 300,00","R5 871 535,77","R1 460 500,00",2024/05/30,2024/06/01,2024/11/30,Reported,
311,Q2 2024/25,2024/07/23,Railway Safety Regulator (RSR),Conference Management Mobile App,Rise Up Productions Trading (PTY) LTD,Continuity of service,"R304 750,00","R776 767,50","R0,00",2024/07/16,2024/07/16,2024/10/02,Reported,
312,Q2 2024/25,2024/07/23,Railway Safety Regulator (RSR),Provision of various temp resources,Pachedu Trading t/Sao Pluetioopnles Dynamics Human,Continuity of service,"R548 578,28","R925 604,79","R0,00",2024/07/19,2024/08/01,2024/11/30,Reported,
313,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,sAeprvpiocienstm Aesn at nodf lewghaelnp p err rea ioqc duti tiirooefn dte h sr rsee retvo i( c3be)es y oaen ap A rassn ealn odf wathtoernn ereyqsu fiorer da,Various service providers (19 attorneys on the panel),The proacnutriecmipeantet dp raosc reescse (ievevadl umaatinoyn )p trooopko sloanlsger than,"R44 128,13","R0,00","R0,00",2024/04/11,2024/04/15,2024/05/14,Reported,
314,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,Provision of confsourl ttihneg Pseorrvtsic Rese gtou ladteovre olofp S ao uhtuhm Aafnri craesource strategy,Century Business Academy (Pty) Ltd,The service provider hsatsill nwoot rykeint gf inoanl iisted the strategy and is,"R0,00","R0,00","R0,00",2024/03/20,2024/04/01,2024/06/30,"Reported
Reported",
315,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,Appointment of legal ppraecritoitdio onfe rthsr teoe b (e3 )o yne aa rpsanel of attorneys for a,PKX Attorneys,The service provider hadse paelinndgi nwgit hmatters that they are still,"R15 295,00","R0,00","R0,00",2024/05/15,2024/05/15,2025/01/14,Reported,
316,Q2 2024/25,2024/07/29,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",FA Platform Voice & Data (PtP),Business Connexion,Operational Requirements,"R375 000,00","R2 289 326,47","R1 914 326,47",2024/07/22,2019/10/01,2024/10/31,Reported,
317,Q2 2024/25,2024/07/29,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Platform Vessel Supply,African Marine Solutions Group,Operational Requirements,"R22 094 352,00","R18 315 000,00","R41 882 209,00",2024/07/25,2023/10/27,2024/09/30,Reported,
318,Q2 2024/25,2024/07/29,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Renewal of InsightSoftware,InsightSoftware South Africa,Operational Requirements,"R81 560,29","R508 274,00","R140 893,00",2024/07/26,2017/04/21,2025/04/20,Reported,
319,Q2 2024/25,2024/08/05,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",FuelLine Services,NNCD Trading,Budget Increase,"R400 048,76","R2 410 000,00","R963 558,00",2024/07/30,2023/05/05,2024/06/30,Reported,
320,Q2 2024/25,2024/08/05,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",FuelLine Services,SPM Aircraft FuelLine Services,Budget Increase,"R200 024,38","R2 410 000,00","R963 558,00",2024/07/30,2023/05/04,2024/06/30,Reported,
321,Q2 2024/25,2024/08/05,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",DataScience Storage Rental,Data Science Corporation,Operational Requirements,"R105 113,12","R57 349,73","R61 700,00",2024/07/31,2024/07/31,2025/02/28,Reported,
322,Q2 2024/25,2024/08/12,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",InfoConnect MPLS VPN Service,Dimension Data,Operational Requirements,"R25 000,00","R270 900,00","R0,00",2024/08/05,2024/07/01,2025/03/31,Reported,
323,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Burgersfort Office Rental,KMHT Properties Investments CC,Operational Requirements,"R99 300,00","R476 640,00","R0,00",2024/07/28,2024/04/29,2027/04/30,Reported,
324,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),CRS Integration to HC Suite,CRS Technologies,Operational Requirements,"R83 600,00","R672 000,00","R0,00",2024/07/28,2024/05/24,2024/07/31,Reported,
325,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Operational Requirements,"R1 859 068,00","R25 767 130,00","R6 172 523,00",2024/07/28,2024/05/16,2026/06/30,Reported,
326,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Operational Requirements,"R677 950,00","R30 431 602,00","R1 265 000,00",2024/07/28,2024/05/30,2028/07/31,Reported,
327,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Microsoft Enterprise Agreement,Microsoft Ireland Operations Ltd,Operational Requirements,"R1 040 198,59","R63 722 317,25","R984 203,52",2024/07/28,2024/06/12,2025/12/31,Reported,
328,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Operational Requirements,"R110 919,00","R30 431 602,00","R1 942 950,00",2024/07/28,2024/06/21,2028/07/31,Reported,
329,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Operational Requirements,"R293 451,00","R25 767 130,00","R8 031 592,00",2024/07/28,2024/07/23,2026/06/30,Reported,
330,Q2 2024/25,2024/08/16,Road Traffic Infringement Agency (RTIA),Extension of lease agreement for 1 month,Axis Properties,Yet to conclude a new contract,"R763 487,09","R3 053 948,36","R763 487,09",2024/07/30,2024/08/01,2024/08/31,Reported,
331,Q2 2024/25,2024/08/16,Road Traffic Infringement Agency (RTIA),Offsite storage of documents,Tidy Files/Metrofile,Services still required wchoinlec lruedloecdation process yet to be,"R105 800,00","R221 524,36","R0,00",2024/07/16,2024/07/16,2026/06/27,Reported,
332,Q2 2024/25,2024/08/01,Road Accident Fund (RAF),Lease Extension for Gheberha Service Centre (CSC) Offices,Premier Precision Properties (Pty)Ltd,Operational Requirements,"R591 660,97","R1 239 138,76","R517 446,46",2024/08/01,2024/07/24,2025/09/30,Reported,
333,Q2 2024/25,2024/08/19,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",2024/25 Local Insurance Renewal Premiums,AON South Africa,Operational Requirements,"R13 887 975,25","R6 000 000,00","R0,00",2024/08/13,2024/02/01,2027/01/31,Reported,
334,Q2 2024/25,2024/08/08,Railway Safety Regulator (RSR),Legal Representation at the CCMA and Labour Court,Moja Sibiya Attorneys,Continuation of legal representation,"R1 200 000,00","R1 000 000,00","R0,00",2024/07/24,2024/07/24,Not stated,Reported,
335,Q2 2024/25,2024/08/27,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",SAP Resources for Services on emergency,PTP Integrated,Operational Requirement - Urgent Requirement,"R95 000,00","R40 000,00","R0,00",2024/08/21,2024/08/21,2024/08/21,Reported,
336,Q2 2024/25,2024/08/27,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Soil Contamination Assessment,Geo Pollution Technologies - Gauteng,Internal Budget Increase (for emergency),"R151 135,00","R86 526,00","R0,00",2024/08/26,2024/08/26,2024/08/26,Reported,
337,Q2 2024/25,2024/08/27,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Armed Guard Security - Mossel Bay,Excellerate Services,Exercised option per contract,"R22 545 428,00","R70 000 000,00","R0,00",2024/08/23,2021/01/15,2025/01/15,Reported,
338,Q2 2024/25,2024/08/27,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Gardening Services,Mazikhule Projects,Operational Requirement,"R616 000,00","R3 137 400,00","R0,00",2024/08/23,2023/09/01,2024/10/31,Reported,
339,Q2 2024/25,2024/09/02,Department of Basic Education (DBE),Mimecast services,SMS ICT Choice,Services still required wchoilnec nluedwe dtender process yet to be,"R36 245,70","R1 304 845,20","R471 194,10",2023/06/21,2024/07/01,2024/07/31,Reported,
340,Q2 2024/25,2024/08/19,Perishable Products Export Control Board (PPECB),Variation of the conttrhaec rt evnatlaule o offfi cKeM iHn TB Purrgoepresrftoierst. Investments CC for,Burgersfort Office Rental,Operational Requirement,"R99 300,00","R476 640,00","R0,00",2024/08/19,2024/04/29,2027/04/30,Reported,
341,Q2 2024/25,2024/08/19,Perishable Products Export Control Board (PPECB),Extension / Variaticoonm opf ectiutirvree ntet nledaesre p troo caellosws. sufficient time for,Tzaneen Office Rental,Operational Requirement,"R146 775,00","R959 274,00","R0,00",2024/08/19,2024/07/31,2024/12/31,Reported,
342,Q2 2024/25,2024/08/02,Road Accident Fund (RAF),Security Services At The Main Gate,Marumofase Private Security Pty (Ltd),Operational Requirement,"R189 495,16","R568 485,48","R0,00",2024/08/19,2024/08/13,Not stated,Reported,
343,Q2 2024/25,2024/09/02,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Platform Supply Vessel,African Marine Solutions Group,Operational Requirements,"R2 144 150,00","R18 315 000,00","R63 976 561,00",2024/08/23,2023/10/27,2024/09/30,Reported,
344,Q2 2024/25,2024/09/02,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Fuelline Service,NNCD Trading,Internal Budget Increase,"R524 875,74","R2 410 000,00","R1 363 606,76",2024/09/02,2023/05/05,2024/06/30,Reported,
345,Q2 2024/25,2024/09/02,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Fuelline Service,SPM Aircraft Fuelline Services,Internal Budget Increase,"R724 900,12","R2 410 000,00","R1 163 582,38",2024/09/02,2023/05/04,2024/06/30,Reported,
346,Q2 2024/25,2024/09/09,"Petroleum, Oil and Ga(Ps eCtroorSpAor)ation of South Africa",Scaffolding Service,Southey Contracting,Operational Requirement,"R4 900 000,00","R72 195 955,81","R0,00",2024/09/06,2020/03/01,2024/09/30,Reported,
"347
333344558901","Q2 2024/25
QQQQ2222 2222000022224444////22225555","2024/09/09
2222000022224444////00009966////10110978","South African Health( SPAroPdHuRctAs )Regulatory Authority
DepRaaritlmwCaeyn o t mS oapf feB Senta eyss n Ri ac tete iE cog hud nlu aFctouart n io(dRnS (DR)BE)","Vehicle Tracking Service
MotS ivu ap tp ioly n o tTf o rv a Nric ev ote qul n uaa el esn s fdbot ea ra dc tp hcl pieon rm e op, vm ec arouild o t flae odtr r iyuo t n nh a deane r cdr ra o orn netgh tvree aiemr c wce t on est x u tm ena sb il oes n for","Tracker Connect
IroA ntT la ManroEtoi usw L nECxt Vaoarni8npd o G STra roa otiuew ut ahpTtr eAabv fre il ca","Addidtional tracker installations
TS o e arv lli oCc we os n f t os int ri u ll t i hr tye e q C o fu f ioni r snae etd lrr ias vw i accch tteo ii oTl ne w nec hn l ru oie mlsd fw t e t e htdt he xeetn e d Abne fisd tr e i op i rs -r n Mo uc n ae d rs e ks r e wy t ae Syt uto p pb oe rt","R52 201,80
R R2 22 8RR4 500 3 5,,007 4005 8, ,0 20
8","R177 486,12
RR R45 73 2R47 8031 ,16 9040 6007 7,, ,86 204
1 4 8","R0,00
R85RRR0000 4,,,00000009,00","2024/09/02
2222000022220144////10001755////12317915","2024/03/01
2222000022224144////00007976////00001111","2027/03/31
2222000022224454////00009867////33330101","Reported
RRRReeeeppppoooorrrrtttteeeedddd",
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
"356
357","Q2 2024/25
Q2 2024/25","2024/06/25
2024/06/25","Government Technical Advisory Centre (GTAC)
Government Technical Advisory Centre (GTAC)","For the provision of technical advisory services to the
proi gn rF tiaemgo mrpor g mlvot ehev emere n e(rp mmnnr m ftoe iapvneti )itns o pti tnoea h ncloa h rfso e n tef lhia ct eite iai i oc xl m :ah na ubdn sd nu viv(c i idii c sa gs gi olorp e) rar a tydd la ivc fv niie nis s dn ao i ot nr rry ence v es t e(o eg inm rtsv ua pui ecc rp) oe m pf vsoo ae rrt nmo tt a hiet n ghe n ete th m e e nt","Jan Johannes Marthinus Hanse
Ayema Xpertrix Consulting CC","The contract was extended for eighteen (18) months in
ofT pinr rhdaoeeng r scc r eafiooa rmn vrl t miytr cha e eeec a prt rp e- rw er odoa n ve rg es d isdr iae a eg emx n rn st sd em a fn t one nod dr ee a,td xd hlp pl epoofi o rrwsioa mr s gtfe ii pobo ri alrg ln ey mh t m,ht to mte e eh e nb efn i .te n ap a( ti rn i1 looi 8 scnli) an u otme ri feo ow tmn hn i eetothh n f s ttt hhoineef
d i g e e","R2 380 500,00
R2 380 500,00","R3 174 000,00
R3 174 000,00","R0,00
R0,00","2022/09/02
2022/09/02","2022/10/01
2022/10/01","2026/03/31
2026/03/31","Reported
Reported",
358,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),For the provision of technical advisory services to the,Salome Squared (Pty Ltd,The contract was extended for eighteen (18) months in,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
359,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
intF iemgo prpogr r olvot eh gevme rre an e rp mmnnr mte mo anv e eti itns o (tti nmeo a cn lof ihr fpo e n t)lf h ia c pt etea hi ocl ma nha susnd en iv( c iiii cigas iixorl p :)a r a mydd l iv sc fvicie nis s on ao i aot nrry nce r oe s t(o veg imi r ntsva pguicc r p) aoe pf dvsooev rrt im to st hi oenthe rn te th e",Ayema Xpertrix Consulting CC,"o ofT pinr r rhd daoee eng r r scc r eaf fioo oa rmn vr rl t miyt tr ch ha e eee ec a prt rp p e- rw er r odo oa n ve rg g es d isdr r ia ae a eg em mx n rn st sd em m a fn t one e nod dr e ee a,td x xd hlp p pl epoofi i o rr rwsioa a mr s gt tfe ii i pobo o ri alrg ln n ey mh t m,ht t to o mte e eh e nb b efn i .te e n ap a( ti i rn n i1 looi 8 scnl li i) an n u otme e ri feo ow w tmn hn i i eet toth hh n f s tt tt h hhoine eef
d i g e e","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
360,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),For the provision of technical advisory services to the,Mohamed Sayed Kader,The contract was extended for eighteen (18) months in,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
361,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Tincol Group (Pty)Ltdi,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
362,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Welcony Investments (Pty) Ltd,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
363,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Qhubeka Business Solutions,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
364,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Marupaati Holdings (Pty) Ltd,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
365,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Cherubim Events (Pty) Ltd,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
366,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Marupaati Holdings (Pty) Ltd,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
367,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),fogro tvheer npmroevnist itoenc honf itceaclh andicvaisl oardyv ciseonrtyre s (egrtvaicce) sfo tro t hthee,Marupaati Holdings (Pty) Ltd,oTrhdee rc foonr ttrhaec tp wroagsr aemxtemned eexdp fiorar teioignh ttoe ebne (in1 8li)n me ownitthh st hine,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
368,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
in ptif emo rg orr pog gt lvoeh re avmere m n ep r mmnnro mte eavn et(i istn mo itto nfea in pclo )hro f e n pf tl hia htce et aaic o sl m h enan u sd ii ni cv i( xiiai cg :s ml ior pa ) ur a dyd nl v ic fiv ci ise ni is pon ai aort nyr lnce s s e t u(e o g ipr m tsv pa pui occ rpe) ro p tsf voo a etr dro m t vt hit einh se n oe t th r e",Builders of Home Investment cc,"o ofT pinr r rhd daoee eng r r scc r eaf fioo oa rmn vr rl t miyt tr ch ha e eee ec a prt rp p e- rw er r odo oa n ve rg g es d isdr r ia ae a eg em mx n rn st sd em m a fn t one e nod dr e ee a,td x xd hlp p pl epoofi i o rr rwsioa a mr s gt tfe ii i pobo o ri alrg ln n ey mh t m,ht t to o mte e eh e nb b efn i .te e n ap a( ti i rn n i1 looi 8 scnl li i) an n u otme e ri feo ow w tmn hn i i eet toth hh n f s tt tt h hhoine eef
d i g e e","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
